projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
000b574223b4f491c7de7bccae88b51d,5003eacb7e6311d01177c275c633768a,87e515cc802d93213adfb963ef8de30e,3.60009E+11,40.813916,-73.900522,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Ms.,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,677.73,24,t,5/28/13,9/6/13
000bab2056ba84931f4f5bc72f542e03,10d2de84406c94967bb0f01f57ba980f,d0318b91338cd9dd6f18202eebe7c9c2,,30.013238,-81.391606,St Augustine,FL,suburban,St Johns Co School District,St Johns,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,moderate poverty,Grades PreK-2,165.75,18,f,12/9/12,1/22/13
000be0b57987d6c29d650a88eac2961b,ae7b6b599922817b2e0cb9f96354297e,922a11f9ab72afebccf5b9391191e1bd,2.10249E+11,37.803213,-85.987333,Vine Grove,KY,suburban,Hardin Co School District,Hardin,f,f,Ms.,Environmental Science,Math & Science,Health & Life Science,Math & Science,Supplies,high poverty,Grades 6-8,481.18,120,f,1/26/12,5/17/12
000d3ead6b648ba31043bb6376e6342d,3dd9af5310c77541f5b65cf190cec338,8018b1c81de3aede5363afabcf32b17c,40880000882,32.228378,-110.963287,Tucson,AZ,urban,Tucson Unified School Dist,Pima,f,t,Mrs.,Literacy,Literacy & Language,,,Other,high poverty,Grades PreK-2,265.13,53,f,1/15/13,3/11/13
000e6a13fd69bf0e426403b1d5da0e99,1ad348085983de6a0f1fe6a37779f7f2,82571bc4db2e4cd846e3c50eeceeb176,62271002991,34.182137,-118.424728,Van Nuys,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 3-5,296.68,30,t,1/23/12,2/20/12
000e964b1e5c911adf700736c43e8f85,27076f8d0ec597bfd5035ef84d6691b0,3870254e36f88935745384ebc06a4caf,1.30012E+11,33.752884,-84.34214,Atlanta,GA,urban,Atlanta Public Schools,De Kalb,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades 3-5,1098.39,39,f,12/22/12,1/12/13
000faa31e276e9e649360949207fa00c,86403b5f04ed07201cd04184ff4c0ced,c86d87fee34b13377658337fa8bf2fc5,2.93144E+11,38.367966,-92.477882,Ft Leonard Wd,MO,,Waynesville School Dist R6,Pulaski,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,high poverty,Grades 3-5,632.13,25,f,12/18/12,1/6/13
0010040593d5e9699ee45834369ec817,1871e44279646e8d18fa74d29dcfc456,83b74057d63f2da28f3635efeffd61a1,1.70765E+11,40.456921,-88.137198,Paxton,IL,,Paxton-buckley-loda Cusd 10,Ford,f,f,Ms.,Literature & Writing,Literacy & Language,,,Supplies,moderate poverty,Grades 9-12,221.56,100,t,9/4/13,10/27/13
00103b0614e31016e5c4cc7d405bbc51,9e4433fb2d3078bc4dcbe2860d05ebf5,b22babfd8fbdfa6b53e4747b74da02dd,4.83585E+11,33.183766,-96.494366,Princeton,TX,,Princeton Ind School Dist,Collin,f,f,Ms.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,1125.4,660,f,12/10/13,4/2/14
00105edf14ebb7f146d6ba2098639bb1,ac1ef23232ddd1597f6fa5b28a171fa5,33b6121da948b2fd67fd78f5935eb793,62619003916,34.050485,-118.020442,El Monte,CA,suburban,Mountain View School District-Los Angeles,Los Angeles,f,f,Mrs.,History & Geography,History & Civics,Special Needs,Special Needs,Technology,highest poverty,Grades PreK-2,2130.4,30,f,4/29/12,7/16/12
001096473792e89ccc83e9f6ab01871b,e21c4208e61018ed35aa2bcc392a2d40,7fdffcfd5bea8e0fc99952254a875a72,1.20087E+11,28.155807,-82.532195,Lutz,FL,suburban,Hillsborough Co Pub Sch Dist,Hillsborough,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,low poverty,Grades PreK-2,715.67,17,f,11/19/13,12/19/13
00134d14226ef613134712c54211f754,5bce35e3991721b665d33095e9d3aa31,9b62c64683b7c3212f159e13eb41ff5c,1.81272E+11,39.920792,-86.142952,Indianapolis,IN,urban,Washington Township Sch Dist,Marion,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades PreK-2,518.22,27,f,3/31/12,7/27/12
00136585c0e4a67afaa964403cf9f45b,402cfc6b73dc62f44946bc1c381f6b1c,0793efaeba83d8b5b9d55f5772fac62d,,35.906952,-77.540756,Tarboro,NC,rural,North Carolina Dept of Ed,Edgecombe,t,f,Mrs.,Literacy,Literacy & Language,,,Books,high poverty,Grades 6-8,350.69,50,f,5/30/12,8/5/12
0013a402fb4cf84e3d60d7a59566dff8,511ec2a1372cd7b9e1af86b1b3de8bff,dbde53d7dbafbbb22ca60f36bb0019a5,62271009572,34.227558,-118.49913,North Hills,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mr.,Other,Applied Learning,,,Technology,highest poverty,Grades 3-5,836.34,29,f,1/21/12,3/1/12
001468d419e1ee737f364013334d0c84,ca8d614f79013690baf1a8860be4b754,4157e4e610804d738f2d1a450d36dd3f,1.20018E+11,26.240857,-80.165433,Pompano Beach,FL,urban,Broward Co Public Schools,Broward,f,f,Mrs.,Health & Life Science,Math & Science,Special Needs,Special Needs,Supplies,highest poverty,Grades 3-5,281.95,60,f,8/7/12,9/19/12
0014cedcb2d697902c15081ab12deadf,b9e31d1b986c0cf802c9e13869b86cef,1d74e61c912fe4527eb57ac456bcac8a,3.60009E+11,40.837411,-73.854644,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Mr.,Special Needs,Special Needs,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,371.81,30,f,9/22/13,12/5/13
0014d10f538cd1a7d97053f4d653f1f6,f6b048bad494f33ed7b3fc538789722b,f239121ba1fe63b29b749af5dac160b6,62271003136,34.240639,-118.446426,Panorama City,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,ESL,Literacy & Language,Literacy,Literacy & Language,Other,high poverty,Grades PreK-2,534.41,24,t,1/7/12,1/24/12
001559b336496f731ebfb8a6a73338cd,1f0cf50590c37a9793e3d3051ba7f183,be721b1c3f2182f5463e1f47478088ce,4.50363E+11,34.98888,-81.971687,Spartanburg,SC,suburban,Spartanburg School District 6,Spartanburg,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Books,high poverty,Grades 3-5,248.46,23,f,12/25/13,4/11/14
00161a60318f303f71bce3e292aa547d,bca6ec517d8ead3edcc2c55321517d06,529f75765b995dca911e3daf0f28971a,1.2015E+11,26.723497,-80.059434,West Palm Bch,FL,urban,Palm Beach Co School District,Palm Beach,f,t,Mrs.,Visual Arts,Music & The Arts,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,266.26,18,t,5/26/12,6/8/12
001706ada83ac3f90369cdd3915d2dcf,5f4c7a2eb2656e33d3b6eca968b2e88d,c7ed5048c8d290dc10eb607b5ff3a234,90045000053,41.205996,-73.213388,Bridgeport,CT,urban,Bridgeport City Sch District,Fairfield,f,f,Mrs.,Mathematics,Math & Science,Literacy,Literacy & Language,Other,highest poverty,Grades PreK-2,300.99,24,f,3/15/12,3/29/12
00176778e93d54ed26f601f7a0af4b35,ed42221561b7b74d34dce3fe6a1aea84,eb885383099e30fbd288aa89d1f7abcd,3.90438E+11,39.735485,-84.279785,Dayton,OH,urban,Dayton Public School District,Montgomery,f,t,Ms.,Visual Arts,Music & The Arts,,,Books,highest poverty,Grades 6-8,418.55,160,f,5/24/12,6/3/12
0018ea3a6cb6c8bbd58753bdb7cb00b2,de7803620efa756469e0d1d74606535b,76cb1fc7cb6aa9059903bf411ddc27b2,40269000197,33.587409,-112.338631,El Mirage,AZ,rural,Dysart Unified School Dist 89,Maricopa,f,f,Ms.,Literacy,Literacy & Language,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,198.86,21,f,3/9/13,5/21/13
001964cf64fb718045116ebe6b933d22,76907330dc134fb5b17c62b4ce5ec50f,a842beac0f3380f6995670c62ee715f2,2.70624E+11,45.062137,-93.298995,Brooklyn Ctr,MN,suburban,Brooklyn Center Ind SD 286,Hennepin,f,f,Ms.,ESL,Literacy & Language,,,Other,highest poverty,Grades PreK-2,562.06,85,f,10/27/13,11/18/13
00199bf192b852aa21573c69ed14565e,b6ac98079d8abaefa5353d15d708da9a,8292243f3bf78ff903697cf2ac0fea1a,3.60008E+11,40.765168,-73.992554,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,623.73,65,f,2/11/12,3/28/12
001a0c0faaa17ae90f18a05ba01dd4fd,caeefdb8e667c31af8b79f08b4a3d26b,dde161252564ad07a75b072f0f90705f,1.20039E+11,25.835409,-80.215416,Miami,FL,,Miami-dade Co Public Sch Dist,Miami-Dade,f,f,Ms.,Environmental Science,Math & Science,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,981.62,15,t,10/4/13,10/12/13
001a1744d0785d9927fb4e3adea63253,841734faf7d6e43204d1f9746b1c037e,4eb751a46198d055504c091f1cf0ece8,3.60008E+11,40.719222,-73.983253,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Environmental Science,Math & Science,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades PreK-2,463.84,30,f,12/1/13,1/26/14
001a26ba45587f7fbefb5122bbe92595,2161ff4aeee14cd8d52c3521c081f293,27978274618ca9d2affa6861a144604a,3.6001E+11,40.706825,-73.920003,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,Mrs.,Literature & Writing,Literacy & Language,ESL,Literacy & Language,Supplies,highest poverty,Grades 6-8,198.34,90,f,7/5/13,7/30/13
001b72f6785934f2cacb6d6d8cb79b4e,c24786b3f7c3ed13a6543cf1ed866845,452edfdfe644dda3fa6dc846f0f469d3,4.80771E+11,29.885183,-95.496803,Houston,TX,suburban,Aldine Ind School District,Harris,f,f,Ms.,Health & Life Science,Math & Science,Literature & Writing,Literacy & Language,Other,highest poverty,Grades PreK-2,229.66,25,f,8/14/13,8/22/13
001d5055cf26a15651c3def86c6d6372,84c3f17b95688643d4f50a1f4d433ab7,3c74bf87a86cc04cfe9cdd82c5f5e485,3.60009E+11,40.885387,-73.878052,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Ms.,Literacy,Literacy & Language,Performing Arts,Music & The Arts,Technology,highest poverty,Grades 6-8,504.19,280,f,1/24/12,2/1/12
001e0e01ece65e4b2c3c1d2c57f0cea8,24d7b866a900c8da8af849ee24ee19be,9502169af12fbfc1a165b763aab151ac,2.91998E+11,37.111242,-92.58316,Mansfield,MO,rural,Mansfield School District R4,Wright,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,highest poverty,Grades 9-12,388.22,400,t,8/8/13,9/25/13
001e440cc12eb3bd3d2aa11723df34c2,266ea1b08f713747ed9173ef8d356f06,763c5bf8587cc4452bf959dd4bfd3ce4,4.81611E+11,29.92222,-95.559821,Houston,TX,suburban,Cypress-fairbanks Ind Sch Dist,Harris,f,f,Mrs.,ESL,Literacy & Language,Literature & Writing,Literacy & Language,Technology,high poverty,Grades PreK-2,1482.33,50,f,9/6/13,10/20/13
001ef450c2dd65ca03b1d16cb3a88154,789dce6ea0c219d6fdbd6dd972e97956,32ca6d5626cfa5ffac49ae8e2eb78b35,5.40162E+11,39.232084,-81.533935,Parkersburg,WV,urban,Wood Co School District,Wood,f,f,Ms.,Character Education,Applied Learning,Environmental Science,Math & Science,Other,highest poverty,Grades 3-5,687.73,250,f,11/9/12,11/15/12
001f43adc5c656fa6e39b2f09afa72dd,28ccae6b84276c2d8d41130981d579b8,2e60ec56fc6b5eb963ae24b0a431cfd6,5.30771E+11,47.713413,-122.3144,Seattle,WA,urban,Seattle School District 1,King,f,f,Mrs.,Early Development,Applied Learning,Special Needs,Special Needs,Supplies,high poverty,Grades PreK-2,528.38,24,f,7/15/12,7/23/12
001f780694807f8c9d7e1748491166f5,159a890d6a756620e3be7798b4a03019,44baa6dbc2f62d765f7313d55f1e9e23,4.70237E+11,36.225002,-86.285944,Lebanon,TN,,Lebanon Special School Dist,Wilson,f,f,Mrs.,Literacy,Literacy & Language,,,Other,highest poverty,Grades PreK-2,595.34,45,f,10/22/12,11/14/12
0021d9d42fb63977604423ebf9c63f8a,4c14556670c6c602a862be381c32ea10,bef4df0b622c13aa6b716ec0886a4f4e,4.84122E+11,29.982979,-95.481216,Houston,TX,suburban,Spring Ind School District,Harris,f,f,Mrs.,Mathematics,Math & Science,,,Technology,highest poverty,Grades 3-5,849.44,38,f,11/21/12,3/16/13
0021de21e1625371113d22f97c8c2acf,f2e88c4933ab9847d7981e57ba063ef9,c897163b8cc716a01596f8c93728dd5c,4.01356E+11,35.879993,-97.422396,Guthrie,OK,,Guthrie School District I-01,Logan,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades PreK-2,912.14,70,f,9/20/13,12/6/13
00224ec566ee6c3cd12d0969b5b2c784,8ba87429a03ca3730eda069bc2d7883f,a4114506f9491fc0ce6d2d93b1fa963b,4.82364E+11,29.637698,-95.332997,Houston,TX,urban,Houston Ind School District,Harris,f,f,Ms.,Performing Arts,Music & The Arts,,,Technology,high poverty,Grades 6-8,467.33,60,f,10/29/12,2/24/13
00234331fb068ced6c084da0e11cd439,dc7a06eab77831674de2170c141bfd3d,22429fcb84b992caa8b1702270ff96d6,61806002233,33.71435,-118.000241,Huntingtn Bch,CA,suburban,Huntington Beach Union Hs Dist,Orange,f,t,Mr.,Visual Arts,Music & The Arts,,,Supplies,high poverty,Grades 9-12,354.82,200,t,9/2/12,9/20/12
00239094b2720ccbd7a456a3c962f03b,3eefa78da686c025a241eb19c7c5023a,b681ca2b7e6e4772b8cd0aa608e68945,1.80375E+11,39.668243,-86.050568,Indianapolis,IN,urban,Franklin Twp Cmty School Corp,Marion,f,f,Mrs.,Literacy,Literacy & Language,,,Supplies,moderate poverty,Grades 3-5,576.08,100,f,5/19/12,8/22/12
0023f4e20e9ac0d53d7f1436d5711c5b,fc84d4b8fb44b111c70b5e6352954a5c,3bb38aff317446b5a1fe430f4869082c,62271003096,34.028926,-118.170915,Los Angeles,CA,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,t,Mrs.,Nutrition,Health & Sports,Health & Wellness,Health & Sports,Books,highest poverty,Grades PreK-2,602.56,22,t,2/1/12,3/24/12
00243492f5f339f1b7a838e983a096f2,8047d9efac8fa7ee21506a54a532acd2,bc03d1c7af31cdc09ac00e13406ef5bc,,38.920322,-77.030617,Washington,DC,urban,[State run],District Of Columbia,t,f,Ms.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 3-5,470.06,25,f,7/28/12,9/17/12
002463e8ba969ea758cc7eadd5f960e5,02bae5b07a7a8d30aa95be9adc84d90c,2a05da4237279cb8f7bcc860f25e9fc9,1.20156E+11,27.891302,-82.779111,Largo,FL,suburban,Pinellas Co School District,Pinellas,f,f,Mrs.,Literature & Writing,Literacy & Language,Parent Involvement,Applied Learning,Books,high poverty,Grades PreK-2,612.76,35,f,4/28/13,8/13/13
0024d5a2652ebf199fc0cfaf7898cfaf,ccd576f82a5578bef3bf276ea819d214,d0f9173ad132f22e60aadbe92b43260f,1.80216E+11,40.251834,-86.590537,Frankfort,IN,rural,Clinton Prairie Sch Corp,Clinton,f,f,Mrs.,Visual Arts,Music & The Arts,,,Supplies,moderate poverty,Grades 9-12,446.53,24,f,4/14/13,5/5/13
0024decf6a1c35c3ebf923f06ac4b580,464b9e5814a42b0d670a3ed05fca0cc0,8542596881b68ac6ad3e09da721a3114,90291000615,41.412549,-73.272388,Sandy Hook,CT,,Newtown Public Schools,Fairfield,f,f,Ms.,Gym & Fitness,Health & Sports,,,Other,low poverty,Grades 9-12,1965.62,999,f,5/25/13,7/8/13
0024f9ac77374c0aac865543bb78eb46,4e1068729138de4b31a3eb253dbf7be8,0e53b92e4bb4a1cf48ba536343ed43bf,2.40021E+11,39.534145,-76.99295,Westminster,MD,suburban,Carroll Co Public School Dist,Carroll,f,f,Ms.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Supplies,high poverty,Grades 3-5,482.56,26,f,1/16/12,2/25/12
00250a8ddc3f0223ac383aeeaa48c2f1,f3e2eb3fcbd5ae8be5af0d618aa546cb,086359cc8e66d4b762945dd54a27e6c3,62271003414,34.048994,-118.224114,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,Applied Sciences,Math & Science,Technology,moderate poverty,Grades 3-5,462.72,22,f,2/10/12,6/3/12
00253700795d0d57143478a8f8f862f5,9b75ca8fe1c4dad8766fe1f23dc39074,3e5eb787a7bc67f55f9051bef226862c,,36.789982,-119.754395,Fresno,CA,,Fresno Unified School Dist,Fresno,t,f,Mrs.,Performing Arts,Music & The Arts,Health & Life Science,Math & Science,Supplies,highest poverty,Grades PreK-2,193.52,21,f,12/26/13,1/20/14
00253a9de723379d8b86d5b08b7d46ff,f6e49c926016f27a5e75d4229125b660,096411dd0bd5fa35980e0382f8cb5f3d,2.80408E+11,31.148111,-90.462524,Magnolia,MS,rural,South Pike School District,Pike,f,f,Ms.,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,796.14,130,f,1/13/12,3/31/12
0025dcd9473e448c7c52dc76dfd763da,f552e963391a51e6978e6f27630efed6,c8ae7da1477687cc290ce2002dd210b7,1.6003E+11,43.527905,-114.318382,Hailey,ID,,Blaine Co School District 61,Blaine,f,f,Mrs.,Other,Applied Learning,,,Technology,high poverty,Grades 6-8,427.51,500,f,2/11/13,4/1/13
0025f4976d7bb2553da632ab9a3eaddc,37e12595d2a7ec2f9d5ed3c0e005c9b5,0828129f399cc91aa92d9699a9d4bfd6,2.50774E+11,42.73296,-71.174332,Methuen,MA,suburban,Methuen School District,Essex,f,f,Mrs.,Visual Arts,Music & The Arts,,,Supplies,moderate poverty,Grades PreK-2,379,26,t,8/28/13,10/21/13
0026fd67bd93e560539ca25e1c4b62f3,49cf8bbfd93cd28c90bd7821eb04ed2d,a7596f4c1d5d080489c313f474c28ccd,60000608775,37.990673,-122.575516,San Anselmo,CA,suburban,Ross Valley School District,Marin,f,f,Ms.,College & Career Prep,Applied Learning,,,Technology,low poverty,Grades 3-5,1090.78,25,f,12/19/12,2/1/13
0026fdd6a97306327adca29eabe06e02,f69def8953a098c588365334e56559cd,3e9487953d3d2b88e56b651f529155c8,62271003250,33.933727,-118.252754,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Special Needs,Special Needs,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,381.56,32,t,10/12/12,11/18/12
0027d01884077d234bb3ccc00768518e,7ec7a7efa8b0eb26efa20747a57e52a7,11f47830977df46ce2b4b394f1143f52,2.40051E+11,38.795158,-76.928462,Temple Hills,MD,suburban,Prince Georges Co School Dist,Prince Georges,f,f,Ms.,Literature & Writing,Literacy & Language,College & Career Prep,Applied Learning,Books,high poverty,Grades 9-12,295.47,86,f,2/5/13,3/7/13
0027e1923d1ea12fccb705e50db911dc,aa6d82b9548089e24cfaa2372ce7be73,21384509b2e6cf061cf59b2c9dd30188,3.60005E+11,40.822632,-73.921303,Bronx,NY,urban,Charter School District,Bronx,t,f,Ms.,Character Education,Applied Learning,Community Service,Applied Learning,Technology,highest poverty,Grades 6-8,1904.96,200,t,5/2/12,5/26/12
00284c0318289c772e79a4e70829d48d,8f84968f8bcba0b3bdd8bce5cea3866f,c68047a5ed08b638e4eef7cb3738cc16,3.60012E+11,40.679468,-73.831459,S Ozone Park,NY,urban,New York City Dept Of Ed,Queens,f,f,Ms.,Performing Arts,Music & The Arts,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades 3-5,348.39,999,t,12/4/13,1/8/14
0029ee86c96328ba7c95f36056e1a3d9,232b0266b84e6b44e44163f5885f501b,7671ace117f24abcb024b1adee34d963,1.20081E+11,28.495637,-82.553562,Spring Hill,FL,,Hernando Co School District,Hernando,f,f,Mrs.,Mathematics,Math & Science,,,Other,highest poverty,Grades 3-5,409.55,75,f,7/1/12,7/13/12
002a7cdfad2be316683a7677d9f9e26f,5ebe4b25b47ab053f97703c952431ba8,e3011cbbca298376938aac459fcecba3,5.3027E+11,45.629585,-122.510017,Vancouver,WA,urban,Evergreen School District 114,Clark,f,f,Mrs.,Literacy,Literacy & Language,,,Books,high poverty,Grades PreK-2,202.72,22,f,9/12/13,9/21/13
002c4840fae954ad40b0a79a87ee7e99,87bd8dcd9874dd380443652ac4bb347e,cf09a33eab00f5f33d248a31aaeb1eb7,4.83432E+11,29.607401,-95.24054,Houston,TX,urban,Pasadena Ind School District,Harris,f,f,Ms.,Other,Applied Learning,Mathematics,Math & Science,Supplies,moderate poverty,Grades 3-5,392.33,23,f,8/14/13,11/30/13
002c9243b1fca34073e042bd5db94cce,f892023820dbae36bb2dd918bc3397e1,9549f176f283382cdc80db58b6ac2645,1.70993E+11,41.80772,-87.665963,Chicago,IL,urban,Pershing Elem Network,Cook,f,f,Ms.,ESL,Literacy & Language,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,738.25,30,t,11/18/12,2/17/13
002e341587b92b8963dd7b97cfdf7129,078eb1f0b4259422445ff111020b8fdb,763f31464775fa3c620d1335703758fe,62271003099,33.980509,-118.327113,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mr.,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 3-5,353.42,20,t,5/9/12,6/17/12
002f926c33d27d1a5e917186b786335d,3132fa6d98eb5cb75ad254bf585ef525,f7ac260413f96dd655ee2349664a11d3,1.90897E+11,41.549076,-93.590607,Des Moines,IA,urban,Des Moines Public School Dist,Polk,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades PreK-2,737.58,24,f,3/26/12,4/6/12
